applicant_id,converted,intent_label
A-1954,1,VERY_HIGH
A-1955,1,VERY_HIGH
A-1956,1,VERY_HIGH
A-1957,1,VERY_HIGH
A-1958,0,HIGH
A-1959,0,HIGH
A-1960,1,VERY_HIGH
A-1961,0,VERY_HIGH
A-1962,1,VERY_HIGH
A-1963,0,HIGH
A-1964,1,VERY_HIGH
A-1965,1,VERY_HIGH
A-1966,0,HIGH
A-1967,0,VERY_HIGH
A-1968,1,VERY_HIGH
A-1969,1,VERY_HIGH
A-1970,0,HIGH
A-1971,0,HIGH
A-1972,1,VERY_HIGH
A-1973,0,HIGH
A-1974,1,VERY_HIGH
A-1975,0,HIGH
A-1976,0,HIGH
A-1977,0,HIGH
A-1978,0,VERY_HIGH
A-1979,1,VERY_HIGH
A-1980,1,VERY_HIGH
A-1981,0,HIGH
A-1982,1,VERY_HIGH
A-1983,1,VERY_HIGH
A-1984,0,HIGH
A-1985,0,HIGH
A-1986,1,VERY_HIGH
A-1987,1,VERY_HIGH
A-1988,1,VERY_HIGH
A-1989,0,VERY_HIGH
A-1990,1,VERY_HIGH
A-1991,0,VERY_HIGH
A-1992,1,VERY_HIGH
A-1993,0,HIGH
A-1994,1,VERY_HIGH
A-1995,0,HIGH
A-1996,0,HIGH
A-1997,1,VERY_HIGH
A-1998,1,VERY_HIGH
A-1999,1,VERY_HIGH
